Timestamp,Birthday,Birthday,Zodiac,MBTI Type,,,,,,,,
4/13/2020 13:18,1/14/2000,1/14,Capricorn,ENTP,,,,,,,,
4/13/2020 9:42,1/11/2000,1/11,Capricorn,INFP,,,,,,,,
4/13/2020 3:38,1/9/2000,1/9,Capricorn,INFJ,,,,,,,,
4/13/2020 8:58,1/9/2000,1/9,Capricorn,INTJ,,,,,,,,
4/13/2020 7:49,1/8/2000,1/8,Capricorn,INFP,,,,,,,,
4/12/2020 23:24,1/7/2000,1/7,Capricorn,INFP,,,,,,,,
4/12/2020 23:30,1/6/2000,1/6,Capricorn,INFJ,,,,,,,,
4/13/2020 0:41,1/6/2000,1/6,Capricorn,INTP,,,,,,,,
4/13/2020 0:41,1/6/2000,1/6,Capricorn,INTP,,,,,,,,
4/13/2020 6:09,1/6/2000,1/6,Capricorn,ENFP,,,,,,,,
4/13/2020 13:46,1/4/2000,1/4,Capricorn,ENTP,,,,,,,,
4/13/2020 6:04,1/3/2000,1/3,Capricorn,INTJ,,,,,,,,
4/13/2020 11:30,11/29/1999,11/29,Sagittarius,INTP,,,,,,,,
4/14/2020 3:53,4/19/1999,4/19,Aries,INTP,,,,,,,,
4/13/2020 16:24,3/3/1999,3/3,Pisces,INTP,,,,,,,,
4/14/2020 11:19,8/3/1998,8/3,Leo,ENTP,,,,,,,,
4/13/2020 11:59,6/8/1998,6/8,Gemini,INTJ,,,,,,,,
4/13/2020 17:12,6/1/1998,6/1,Gemini,INTJ,,,,,,,,
4/13/2020 13:46,3/9/1998,3/9,Pisces,ENFP,,,,,,,,
4/13/2020 15:16,5/15/1997,5/15,Tauras,INFP,,,,,,,,
4/14/2020 1:59,10/24/1996,10/24,Scorpio,INTJ,,,,,,,,
4/12/2020 17:39,9/13/1996,9/13,Virgo,INFJ,,,,,,,,
4/13/2020 11:20,9/7/1996,9/7,Virgo,INFJ,,,,,,,,
4/13/2020 12:13,6/19/1995,6/19,Gemini,INFJ,,,,,,,,
4/13/2020 11:59,5/29/1995,5/29,Gemini,INTJ,,,,,,,,
4/14/2020 17:56,2/3/1995,2/3,Aquaris,INFP,,,,,,,,
4/13/2020 14:03,12/4/1994,12/4,Sagittarius,INTJ,,,,,,,,
4/13/2020 10:59,2/23/1994,2/23,Pisces,INFP,,,,,,,,
4/13/2020 17:24,1/24/1994,1/24,Aquaris,INTJ,,,,,,,,
4/14/2020 2:14,1/5/1994,1/5,Capricorn,INTJ,,,,,,,,
4/13/2020 10:43,11/29/1993,11/29,Sagittarius,ENTJ,,,,,,,,
4/13/2020 11:16,8/12/1993,8/12,Leo,ENTJ,,,,,,,,
4/13/2020 12:52,4/1/1993,4/1,Aries,INFP,,,,,,,,
4/16/2020 3:45,2/21/1993,2/21,Pisces,INFP,,,,,,,,
4/16/2020 3:45,2/21/1993,2/21,Pisces,INFP,,,,,,,,
4/16/2020 1:18,9/21/1992,9/21,Virgo,ENFJ,,,,,,,,
4/13/2020 12:43,8/8/1992,8/8,Leo,ENFJ,,,,,,,,
4/15/2020 21:24,8/8/1992,8/8,Leo,ISTP,,,,,,,,
4/14/2020 16:11,2/24/1991,2/24,Pisces,ENFP,,,,,,,,
4/13/2020 11:21,2/18/1991,2/18,Aquaris,ENTP,,,,,,,,
4/13/2020 12:38,4/4/1988,4/4,Aries,INFJ,,,,,,,,
4/15/2020 7:38,7/1/1983,7/1,Cancer,INTP,,,,,,,,
4/13/2020 20:40,5/14/1982,5/14,Tauras,INFP,,,,,,,,
4/13/2020 14:37,4/7/1982,4/7,Aries,INTJ,,,,,,,,
4/13/2020 17:53,2/13/1980,2/13,Aquaris,ESFJ,,,,,,,,
